movieId,degree,m_degree,f_degree
8961,5.501991887,5.5607121,5.420865586
34,5.492745367,5.443277583,5.515791653
2918,5.472278498,5.436112066,5.486339539
349,5.460086364,5.434281701,5.461038785
5445,5.448409088,5.482008821,5.390081357
3996,5.442900792,5.501288235,5.360898805
4878,5.441594065,5.438888235,5.423525336
60069,5.432738217,5.455965289,5.389446702
1732,5.425051533,5.455310741,5.374459419
597,5.394658374,5.403979764,5.357348461
4011,5.389565684,5.379397515,5.380942454
500,5.38647501,5.335989478,5.407408865
1073,5.384870785,5.433994577,5.31269144
5618,5.383001442,5.353047149,5.396118096
68954,5.378137498,5.392234481,5.345569355
5989,5.373957317,5.413075615,5.315095007
1246,5.373815153,5.422280413,5.304960533
48516,5.3722566,5.378290528,5.348827538
6,5.368130016,5.450274847,5.263487458
344,5.33779609,5.335770205,5.307395057
919,5.337670826,5.394905362,5.259568863
904,5.334404922,5.33426234,5.319065547
3793,5.331519272,5.284060658,5.352749473
7438,5.311737574,5.253417981,5.348969136
1259,5.310066877,5.310053075,5.291726313
3114,5.307700213,5.332689344,5.261735672
1219,5.305376095,5.345434537,5.247903312
44191,5.301880982,5.29235598,5.294287304
1080,5.298642285,5.255748257,5.321239028
109487,5.298114254,5.234600111,5.34843396
357,5.283251694,5.260952101,5.283652457
1225,5.259623592,5.250142355,5.251498671
3949,5.257649859,5.265069622,5.233543482
316,5.255674853,5.2402027,5.243914691
908,5.254667638,5.295687181,5.198680801
2502,5.248475993,5.223400607,5.255432544
48780,5.247545382,5.274699771,5.203916777
1968,5.241655595,5.319807385,5.141848647
59315,5.234877922,5.190719869,5.259444098
17,5.224682618,5.25451756,5.17554374
539,5.222068357,5.200126539,5.219304879
367,5.216319596,5.208311182,5.195546739
923,5.207402608,5.232819278,5.173643845
736,5.200504199,5.279423928,5.094471976
6016,5.19871821,5.14377043,5.24427682
1307,5.191513528,5.25550258,5.109178512
10,5.180047987,5.168550175,5.167622507
2396,5.168113566,5.231897859,5.085524086
68157,5.166717267,5.117893285,5.197598763
1203,5.161830521,5.210520048,5.100387322
4027,5.154643055,5.077874578,5.210971386
223,5.151766089,5.100840163,5.183533132
36,5.147287998,5.075875793,5.198121231
5349,5.140394552,5.171084008,5.086414041
1387,5.134187163,5.211907591,5.035797899
3897,5.120875511,5.152802727,5.071089433
4896,5.118803349,5.138819288,5.07874694
587,5.112027346,5.141222407,5.059407235
1247,5.105940323,5.138196305,5.058469195
1201,5.104743138,5.082387792,5.113099052
99114,5.100629643,5.189118311,4.99514465
253,5.095395843,5.170195798,4.996613368
1784,5.089773153,5.155347855,5.004519773
1252,5.082405711,5.143219156,5.006835181
2542,5.079846681,5.080431012,5.065707104
1230,5.075613824,5.208453859,4.920278596
2291,5.075161977,5.043563434,5.08786714
161,5.06799848,5.052023097,5.065220374
1610,5.06081854,5.060015768,5.047530526
32587,5.05973495,5.072029303,5.029895683
1653,5.045809068,5.020155223,5.054054918
903,5.04360819,5.074900641,4.999095243
2115,5.040733307,5.087526218,4.979403737
91529,5.034175773,4.94659384,5.103875674
54286,5.03383491,5.076402577,4.979781537
1234,5.033533359,5.074232339,4.979390394
2692,5.02589829,5.029494067,5.012503237
1207,5.02530191,5.001317249,5.036155949
551,5.015701697,4.9545868,5.056788961
2791,5.004419697,4.986154028,5.005712031
1577,5.002773155,5.002773155,5.002733734
2326,5.002773155,5.002773155,5.002733734
2685,5.002773155,5.002773155,5.002733734
1423,5.002773155,5.005546311,
78420,5.002773155,,5.005467468
81520,5.002773155,,5.005467468
110281,5.002773155,,5.005467468
131092,5.002773155,5.002773155,5.002733734
136501,5.002773155,5.002773155,5.002733734
158878,5.002773155,,5.005467468
176219,5.002773155,5.002773155,5.002733734
191351,5.002773155,,5.005467468
158308,5.002773155,5.005546311,
1079,5.00248058,5.059499313,4.928150037
72998,5.001681618,4.981786328,5.002141331
8368,5.001625405,5.04676234,4.94919327
166143,5.001386577,,5.002733734
166830,5.001386577,,5.002733734
167808,5.001386577,,5.002733734
168090,5.001386577,,5.002733734
169106,5.001386577,,5.002733734
169720,5.001386577,,5.002733734
169788,5.001386577,,5.002733734
170739,5.001386577,,5.002733734
170801,5.001386577,,5.002733734
170837,5.001386577,,5.002733734
171067,5.001386577,,5.002733734
171571,5.001386577,,5.002733734
172249,5.001386577,,5.002733734
172251,5.001386577,,5.002733734
172903,5.001386577,,5.002733734
173299,5.001386577,,5.002733734
173591,5.001386577,,5.002733734
173999,5.001386577,,5.002733734
175479,5.001386577,,5.002733734
175829,5.001386577,,5.002733734
176217,5.001386577,,5.002733734
178387,5.001386577,,5.002733734
179299,5.001386577,,5.002733734
182523,5.001386577,,5.002733734
182637,5.001386577,,5.002733734
183157,5.001386577,,5.002733734
183397,5.001386577,,5.002733734
130558,5.001386577,5.002773155,
130630,5.001386577,5.002773155,
130842,5.001386577,5.002773155,
131777,5.001386577,5.002773155,
132122,5.001386577,5.002773155,
132153,5.001386577,5.002773155,
132626,5.001386577,5.002773155,
133780,5.001386577,5.002773155,
133808,5.001386577,5.002773155,
134037,5.001386577,5.002773155,
135242,5.001386577,5.002773155,
135623,5.001386577,5.002773155,
135811,5.001386577,5.002773155,
135848,5.001386577,5.002773155,
136012,5.001386577,5.002773155,
136361,5.001386577,5.002773155,
137425,5.001386577,5.002773155,
138798,5.001386577,5.002773155,
138966,5.001386577,5.002773155,
139100,5.001386577,5.002773155,
140297,5.001386577,5.002773155,
141359,5.001386577,5.002773155,
141428,5.001386577,5.002773155,
141902,5.001386577,5.002773155,
142440,5.001386577,5.002773155,
142891,5.001386577,5.002773155,
142917,5.001386577,5.002773155,
143547,5.001386577,5.002773155,
144938,5.001386577,5.002773155,
144992,5.001386577,5.002773155,
146040,5.001386577,5.002773155,
147909,5.001386577,5.002773155,
150375,5.001386577,5.002773155,
153412,5.001386577,5.002773155,
153794,5.001386577,5.002773155,
154592,5.001386577,5.002773155,
157212,5.001386577,5.002773155,
158314,5.001386577,5.002773155,
158318,5.001386577,5.002773155,
158958,5.001386577,5.002773155,
160824,5.001386577,5.002773155,
165085,5.001386577,5.002773155,
166880,5.001386577,5.002773155,
166882,5.001386577,5.002773155,
166884,5.001386577,5.002773155,
166898,5.001386577,5.002773155,
166900,5.001386577,5.002773155,
166964,5.001386577,5.002773155,
167780,5.001386577,5.002773155,
167834,5.001386577,5.002773155,
168888,5.001386577,5.002773155,
169854,5.001386577,5.002773155,
170024,5.001386577,5.002773155,
171605,5.001386577,5.002773155,
173817,5.001386577,5.002773155,
175169,5.001386577,5.002773155,
176533,5.001386577,5.002773155,
176927,5.001386577,5.002773155,
177413,5.001386577,5.002773155,
178323,5.001386577,5.002773155,
178345,5.001386577,5.002773155,
178645,5.001386577,5.002773155,
180607,5.001386577,5.002773155,
184289,5.001386577,5.002773155,
184393,5.001386577,5.002773155,
184663,5.001386577,5.002773155,
189539,5.001386577,5.002773155,
191997,5.001386577,5.002773155,
401,5.001386577,5.002773155,
1368,5.001386577,5.002773155,
1524,5.001386577,5.002773155,
2444,5.001386577,5.002773155,
3642,5.001386577,5.002773155,
3778,5.001386577,5.002773155,
4648,5.001386577,5.002773155,
4818,5.001386577,5.002773155,
4935,5.001386577,5.002773155,
6174,5.001386577,5.002773155,
6704,5.001386577,5.002773155,
6914,5.001386577,5.002773155,
7224,5.001386577,5.002773155,
8403,5.001386577,5.002773155,
8925,5.001386577,5.002773155,
26093,5.001386577,5.002773155,
26388,5.001386577,5.002773155,
26809,5.001386577,5.002773155,
26981,5.001386577,5.002773155,
31854,5.001386577,5.002773155,
32797,5.001386577,5.002773155,
32799,5.001386577,5.002773155,
33235,5.001386577,5.002773155,
34039,5.001386577,5.002773155,
34608,5.001386577,5.002773155,
40226,5.001386577,5.002773155,
40457,5.001386577,5.002773155,
46561,5.001386577,5.002773155,
46839,5.001386577,5.002773155,
47135,5.001386577,5.002773155,
54964,5.001386577,5.002773155,
57778,5.001386577,5.002773155,
58123,5.001386577,5.002773155,
59485,5.001386577,5.002773155,
61467,5.001386577,5.002773155,
64650,5.001386577,5.002773155,
64793,5.001386577,5.002773155,
64900,5.001386577,5.002773155,
67140,5.001386577,5.002773155,
70804,5.001386577,5.002773155,
71999,5.001386577,5.002773155,
72866,5.001386577,5.002773155,
76751,5.001386577,5.002773155,
77774,5.001386577,5.002773155,
79333,5.001386577,5.002773155,
79651,5.001386577,5.002773155,
79830,5.001386577,5.002773155,
79936,5.001386577,5.002773155,
80107,5.001386577,5.002773155,
82022,5.001386577,5.002773155,
84017,5.001386577,5.002773155,
85205,5.001386577,5.002773155,
85273,5.001386577,5.002773155,
86844,5.001386577,5.002773155,
87302,5.001386577,5.002773155,
87719,5.001386577,5.002773155,
88471,5.001386577,5.002773155,
88706,5.001386577,5.002773155,
89056,5.001386577,5.002773155,
89850,5.001386577,5.002773155,
89985,5.001386577,5.002773155,
91037,5.001386577,5.002773155,
93729,5.001386577,5.002773155,
94022,5.001386577,5.002773155,
94659,5.001386577,5.002773155,
95941,5.001386577,5.002773155,
97595,5.001386577,5.002773155,
99351,5.001386577,5.002773155,
99960,5.001386577,5.002773155,
102479,5.001386577,5.002773155,
102917,5.001386577,5.002773155,
398,5.001386577,,5.002733734
1420,5.001386577,,5.002733734
1548,5.001386577,,5.002733734
1622,5.001386577,,5.002733734
1630,5.001386577,,5.002733734
1706,5.001386577,,5.002733734
4763,5.001386577,,5.002733734
5627,5.001386577,,5.002733734
5912,5.001386577,,5.002733734
6151,5.001386577,,5.002733734
6415,5.001386577,,5.002733734
7214,5.001386577,,5.002733734
7703,5.001386577,,5.002733734
8068,5.001386577,,5.002733734
8900,5.001386577,,5.002733734
26139,5.001386577,,5.002733734
26175,5.001386577,,5.002733734
26369,5.001386577,,5.002733734
26411,5.001386577,,5.002733734
26529,5.001386577,,5.002733734
26644,5.001386577,,5.002733734
27093,5.001386577,,5.002733734
27096,5.001386577,,5.002733734
27235,5.001386577,,5.002733734
27396,5.001386577,,5.002733734
27805,5.001386577,,5.002733734
27841,5.001386577,,5.002733734
31086,5.001386577,,5.002733734
39244,5.001386577,,5.002733734
41058,5.001386577,,5.002733734
42710,5.001386577,,5.002733734
43269,5.001386577,,5.002733734
46478,5.001386577,,5.002733734
48098,5.001386577,,5.002733734
48346,5.001386577,,5.002733734
49338,5.001386577,,5.002733734
52938,5.001386577,,5.002733734
54580,5.001386577,,5.002733734
55132,5.001386577,,5.002733734
56253,5.001386577,,5.002733734
56485,5.001386577,,5.002733734
58578,5.001386577,,5.002733734
60356,5.001386577,,5.002733734
61004,5.001386577,,5.002733734
63391,5.001386577,,5.002733734
68180,5.001386577,,5.002733734
70843,5.001386577,,5.002733734
70992,5.001386577,,5.002733734
71027,5.001386577,,5.002733734
71730,5.001386577,,5.002733734
72931,5.001386577,,5.002733734
77296,5.001386577,,5.002733734
78438,5.001386577,,5.002733734
79022,5.001386577,,5.002733734
81145,5.001386577,,5.002733734
83535,5.001386577,,5.002733734
84805,5.001386577,,5.002733734
87834,5.001386577,,5.002733734
87928,5.001386577,,5.002733734
87930,5.001386577,,5.002733734
88024,5.001386577,,5.002733734
88680,5.001386577,,5.002733734
89139,5.001386577,,5.002733734
91582,5.001386577,,5.002733734
93193,5.001386577,,5.002733734
93674,5.001386577,,5.002733734
93733,5.001386577,,5.002733734
94190,5.001386577,,5.002733734
95163,5.001386577,,5.002733734
95165,5.001386577,,5.002733734
95182,5.001386577,,5.002733734
95497,5.001386577,,5.002733734
95771,5.001386577,,5.002733734
97046,5.001386577,,5.002733734
97828,5.001386577,,5.002733734
97986,5.001386577,,5.002733734
98004,5.001386577,,5.002733734
98595,5.001386577,,5.002733734
103621,5.001386577,,5.002733734
103745,5.001386577,,5.002733734
103871,5.001386577,,5.002733734
105130,5.001386577,,5.002733734
108875,5.001386577,,5.002733734
114486,5.001386577,,5.002733734
114721,5.001386577,,5.002733734
115929,5.001386577,,5.002733734
115943,5.001386577,,5.002733734
115947,5.001386577,,5.002733734
116483,5.001386577,,5.002733734
116489,5.001386577,,5.002733734
116493,5.001386577,,5.002733734
121455,5.001386577,,5.002733734
122068,5.001386577,,5.002733734
122240,5.001386577,,5.002733734
122349,5.001386577,,5.002733734
122413,5.001386577,,5.002733734
122936,5.001386577,,5.002733734
123083,5.001386577,,5.002733734
123107,5.001386577,,5.002733734
123569,5.001386577,,5.002733734
124575,5.001386577,,5.002733734
125373,5.001386577,,5.002733734
125958,5.001386577,,5.002733734
125982,5.001386577,,5.002733734
126020,5.001386577,,5.002733734
128219,5.001386577,,5.002733734
128542,5.001386577,,5.002733734
104920,5.001386577,5.002773155,
105001,5.001386577,5.002773155,
105011,5.001386577,5.002773155,
105943,5.001386577,5.002773155,
107252,5.001386577,5.002773155,
107397,5.001386577,5.002773155,
107434,5.001386577,5.002773155,
107700,5.001386577,5.002773155,
107735,5.001386577,5.002773155,
109904,5.001386577,5.002773155,
109945,5.001386577,5.002773155,
111332,5.001386577,5.002773155,
112081,5.001386577,5.002773155,
113236,5.001386577,5.002773155,
114550,5.001386577,5.002773155,
114629,5.001386577,5.002773155,
115556,5.001386577,5.002773155,
116080,5.001386577,5.002773155,
116157,5.001386577,5.002773155,
116503,5.001386577,5.002773155,
117138,5.001386577,5.002773155,
117450,5.001386577,5.002773155,
117576,5.001386577,5.002773155,
117656,5.001386577,5.002773155,
118572,5.001386577,5.002773155,
118846,5.001386577,5.002773155,
118858,5.001386577,5.002773155,
119567,5.001386577,5.002773155,
120486,5.001386577,5.002773155,
123229,5.001386577,5.002773155,
123537,5.001386577,5.002773155,
124544,5.001386577,5.002773155,
127019,5.001386577,5.002773155,
128169,5.001386577,5.002773155,
128854,5.001386577,5.002773155,
129245,5.001386577,,5.002733734
131130,5.001386577,,5.002733734
131140,5.001386577,,5.002733734
131359,5.001386577,,5.002733734
131464,5.001386577,,5.002733734
131550,5.001386577,,5.002733734
132136,5.001386577,,5.002733734
133133,5.001386577,,5.002733734
133135,5.001386577,,5.002733734
133137,5.001386577,,5.002733734
133145,5.001386577,,5.002733734
133171,5.001386577,,5.002733734
133173,5.001386577,,5.002733734
133199,5.001386577,,5.002733734
134019,5.001386577,,5.002733734
134883,5.001386577,,5.002733734
135184,5.001386577,,5.002733734
135290,5.001386577,,5.002733734
135498,5.001386577,,5.002733734
135825,5.001386577,,5.002733734
136530,5.001386577,,5.002733734
136548,5.001386577,,5.002733734
136550,5.001386577,,5.002733734
136552,5.001386577,,5.002733734
136622,5.001386577,,5.002733734
137393,5.001386577,,5.002733734
137757,5.001386577,,5.002733734
138146,5.001386577,,5.002733734
138908,5.001386577,,5.002733734
138925,5.001386577,,5.002733734
139584,5.001386577,,5.002733734
140261,5.001386577,,5.002733734
140269,5.001386577,,5.002733734
140934,5.001386577,,5.002733734
141058,5.001386577,,5.002733734
141918,5.001386577,,5.002733734
142576,5.001386577,,5.002733734
142959,5.001386577,,5.002733734
143500,5.001386577,,5.002733734
143717,5.001386577,,5.002733734
144174,5.001386577,,5.002733734
144298,5.001386577,,5.002733734
144508,5.001386577,,5.002733734
144690,5.001386577,,5.002733734
144714,5.001386577,,5.002733734
145022,5.001386577,,5.002733734
145030,5.001386577,,5.002733734
145168,5.001386577,,5.002733734
145174,5.001386577,,5.002733734
145176,5.001386577,,5.002733734
145188,5.001386577,,5.002733734
145194,5.001386577,,5.002733734
145771,5.001386577,,5.002733734
146352,5.001386577,,5.002733734
150477,5.001386577,,5.002733734
150892,5.001386577,,5.002733734
154416,5.001386577,,5.002733734
155758,5.001386577,,5.002733734
156104,5.001386577,,5.002733734
156565,5.001386577,,5.002733734
157783,5.001386577,,5.002733734
158003,5.001386577,,5.002733734
159173,5.001386577,,5.002733734
159423,5.001386577,,5.002733734
159702,5.001386577,,5.002733734
161346,5.001386577,,5.002733734
161622,5.001386577,,5.002733734
161732,5.001386577,,5.002733734
161940,5.001386577,,5.002733734
161942,5.001386577,,5.002733734
162458,5.001386577,,5.002733734
162654,5.001386577,,5.002733734
162968,5.001386577,,5.002733734
163388,5.001386577,,5.002733734
164165,5.001386577,,5.002733734
1288,5.000714214,5.023663271,4.967641861
508,4.997176509,4.935674613,5.039573513
48394,4.99456118,4.919988627,5.051335422
39,4.991125174,5.07024149,4.888040084
4022,4.986632643,4.894872612,5.055849036
25,4.978300055,5.00705558,4.930310804
1584,4.973202541,4.965855297,4.963582323
2019,4.972619394,5.081584111,4.845275102
1625,4.969526958,5.005355916,4.917915733
1304,4.96922724,5.045558328,4.876847771
1393,4.969053332,5.006584394,4.912794429
8665,4.968367186,4.994937729,4.92936764
55820,4.960595975,4.932178025,4.975872797
1199,4.960037099,4.995869203,4.912532691
1148,4.953602233,4.983379038,4.910940335
454,4.949972759,4.886453651,4.993388961
953,4.949232339,4.949902732,4.936155949
1233,4.941578541,4.910788905,4.959777597
1923,4.939112224,4.994978407,4.862444672
2628,4.93562636,4.991981594,4.853393735
116797,4.934352574,4.935509753,4.920635109
5995,4.933581508,4.999018729,4.852996269
6711,4.931156671,4.977684628,4.869522966
231,4.925722056,4.936071646,4.887675796
16,4.919984536,4.936496171,4.88829563
292,4.917143722,4.901038981,4.912149386
62,4.916639182,4.98638616,4.827671991
49272,4.913952731,4.925360438,4.88733009
1090,4.904751844,4.890923586,4.905457167
1220,4.899249267,4.912767662,4.869275676
63082,4.897925085,4.853401788,4.926599577
74458,4.892977136,4.917628403,4.855017104
337,4.889742924,4.898172091,4.868208355
329,4.88912799,4.865576932,4.890292696
1278,4.882585558,4.892521749,4.861603868
1204,4.88036576,4.949205834,4.798313266
586,4.878257796,4.897733154,4.833986271
141,4.87557154,4.886306748,4.845702311
2916,4.872393127,4.907005662,4.821024901
21,4.871537479,4.873823141,4.85064237
300,4.871499719,4.849591734,4.877702324
46578,4.869026788,4.90887498,4.814279687
153,4.868293348,4.874667396,4.83432363
913,4.867761397,4.939293885,4.782951184
2355,4.862993993,4.849627073,4.857218301
5816,4.855114769,4.846907091,4.856091224
8874,4.853823314,4.868167899,4.825421748
1250,4.851441739,4.865418746,4.827650656
134130,4.845216717,4.750599562,4.922217975
1266,4.843300246,4.892998093,4.780469131
2011,4.842128366,4.924864808,4.739180676
50872,4.840270471,4.832101087,4.836036773
2194,4.838461224,4.870908345,4.794427121
48660,4.837493066,4.755546311,5.002733734
144448,4.837493066,4.502773155,5.005467468
3000,4.824416059,4.795276048,4.842900343
339,4.819698218,4.826652548,4.797744587
92259,4.818682404,4.845288962,4.78310671
1517,4.80796089,4.824395153,4.771736999
182723,4.806932889,4.755546311,4.841534535
920,4.802701914,4.885651973,4.703942972
1276,4.800851754,4.821560126,4.770517305
1172,4.799899851,4.80943017,4.781350633
40815,4.798221002,4.807372939,4.77639465
4034,4.790974152,4.735085084,4.831678831
1358,4.78987525,4.775661893,4.795802741
2797,4.777743816,4.860145895,4.675954716
1356,4.77728092,4.866840037,4.669066277
68358,4.773583343,4.737409872,4.796071706
1394,4.772614569,4.745021003,4.78689747
2706,4.758427131,4.805752302,4.690581799
3609,4.752773155,4.502773155,5.002733734
26346,4.752773155,5.002773155,4.502733734
52784,4.752773155,4.502773155,5.002733734
62847,4.752773155,5.002773155,4.502733734
71182,4.752773155,5.002773155,4.502733734
6676,4.752773155,4.755546311,
31900,4.752773155,4.755546311,
32375,4.752773155,4.755546311,
92496,4.752773155,4.755546311,
8483,4.752773155,,4.755467468
44115,4.752773155,,4.755467468
45412,4.752773155,,4.755467468
96897,4.752773155,,4.755467468
104323,4.752773155,5.002773155,4.502733734
120827,4.752773155,4.755546311,
127042,4.752773155,4.755546311,
179173,4.752773155,4.502773155,5.002733734
184855,4.752773155,,4.755467468
141950,4.752773155,4.755546311,
157342,4.752773155,4.755546311,
158322,4.752773155,4.755546311,
162566,4.752773155,4.755546311,
167856,4.752773155,4.755546311,
2987,4.752265138,4.802165042,4.683244995
2395,4.745770937,4.807845282,4.670858392
70286,4.745212516,4.714384755,4.763433415
474,4.744730822,4.779784182,4.695265467
969,4.743131292,4.705217149,4.772414223
7147,4.738903062,4.711378471,4.758185764
745,4.729257841,4.785376432,4.662110443
6333,4.719429396,4.760852666,4.662503237
2804,4.718247365,4.610699339,4.811232037
288,4.71800258,4.726758325,4.688825246
3481,4.716600376,4.75779374,4.667224358
4262,4.712341695,4.7271155,4.688624008
2000,4.710334531,4.653690081,4.749907848
56367,4.709779565,4.635437245,4.767259665
112852,4.708307422,4.661462574,4.742348172
40697,4.706932889,5.005546311,4.508201202
2174,4.704265056,4.710462081,4.680911903
58,4.703213241,4.715333867,4.68517458
509,4.691391662,4.754589458,4.61319804
1035,4.691289924,4.630280088,4.737660842
89745,4.68727525,4.646775087,4.713988244
27773,4.686964626,4.644185196,4.723419592
76093,4.686586666,4.676714519,4.6897723
6502,4.680469665,4.697704875,4.650924712
44555,4.678701692,4.723844643,4.624722986
497,4.677805586,4.719500723,4.623509741
1262,4.676963515,4.712724163,4.631492618
2268,4.675738111,4.6479596,4.69027713
11,4.675011172,4.688473756,4.647318563
790,4.6708264,4.505546311,5.002733734
2776,4.6708264,5.002773155,4.505467468
5473,4.6708264,5.005546311,4.002733734
26509,4.6708264,4.505546311,5.002733734
26760,4.6708264,5.002773155,4.505467468
42783,4.6708264,4.505546311,5.002733734
171495,4.6708264,5.005546311,4.002733734
81568,4.6708264,5.002773155,4.505467468
92481,4.6708264,5.005546311,4.002733734
69088,4.6708264,4.674986134,
106234,4.6708264,4.674986134,
129313,4.6708264,4.505546311,5.002733734
131252,4.6708264,4.505546311,5.002733734
1954,4.665683343,4.652661794,4.666970327
1267,4.664752758,4.705650515,4.615005874
1263,4.66356705,4.751611559,4.560962273
48774,4.662658455,4.655010685,4.658847509
246,4.662305765,4.68622255,4.628948571
109374,4.657104369,4.676990481,4.630349941
555,4.656437609,4.603020218,4.699647442
235,4.656426136,4.599880504,4.697288043
134853,4.653296633,4.63407886,4.664465373
30749,4.652983231,4.547801243,4.740500273
142452,4.652563188,4.513865779,5.005467468
81845,4.651511141,4.610823046,4.681052667
106782,4.651511141,4.679612666,4.612511664
3160,4.650180382,4.662617859,4.626997144
68237,4.64468559,4.626990046,4.656273392
6365,4.641956039,4.635882246,4.630354762
4979,4.640347472,4.712892213,4.554739432
1228,4.639044053,4.660788306,4.608239723
440,4.635852666,4.63440562,4.625268116
81834,4.634655758,4.656153885,4.604281608
2,4.631660802,4.574346201,4.668615604
594,4.63113883,4.555895336,4.689351647
32707,4.630546311,4.502773155,4.674867869
8360,4.626754236,4.609298262,4.629921537
112552,4.624268032,4.584355135,4.659794895
3408,4.619403685,4.638764566,4.585484245
3751,4.618963703,4.680115012,4.544361497
3471,4.618728945,4.601383755,4.630301685
73017,4.616801613,4.592922614,4.631879143
115713,4.616182288,4.606734226,4.618889853
1212,4.616154844,4.731201049,4.478405509
2683,4.615690802,4.623187321,4.589302522
1127,4.613549193,4.59830995,4.6145986
64614,4.613351307,4.56257393,4.652960975
34405,4.612211637,4.601003378,4.614767982
553,4.611125744,4.519111289,4.685832814
51662,4.608092296,4.586318833,4.616450605
1075,4.606932889,4.005546311,5.008201202
5914,4.606932889,4.3416528,5.005467468
1183,4.605158638,4.712833145,4.4783225
104,4.603745537,4.665400421,4.524358874
88125,4.603418128,4.568260628,4.62847479
69844,4.601853295,4.630325066,4.567105136
2700,4.600662962,4.554894117,4.637401864
73759,4.599972268,4.255546311,4.677337342
3052,4.598560055,4.539347464,4.641539277
515,4.598288306,4.582539315,4.604771246
5902,4.595567861,4.594998832,4.59411058
95,4.59344104,4.608788795,4.557863155
30707,4.593313734,4.541344672,4.63215452
1641,4.592332162,4.677915567,4.491285028
147378,4.5916528,4.508319467,4.674867869
5218,4.591279575,4.602668309,4.565474711
1242,4.588716226,4.6267572,4.541385061
1101,4.585255298,4.531912724,4.624012306
112556,4.583027329,4.589999758,4.567044248
5971,4.58019378,4.491901704,4.653591005
5060,4.579942228,4.65482816,4.494063134
922,4.576898788,4.602390676,4.5449103
3527,4.576126294,4.584121559,4.555482993
899,4.574413988,4.523108848,4.615705589
